S/N,REGION,DISTRICT,YEAR,CROP,AREA (HA),YIELD (MT/HA),PRODUCTION (MT)
1,WESTERN,SHAMA AHANTA EAST,1993,MAIZE,366.0,0.95,348.0
2,WESTERN,WEST AHANTA,1993,MAIZE,1513.0,1.0,1513.0
3,WESTERN,MPORHOR WASSA EAST,1993,MAIZE,2948.0,1.08,3184.0
4,WESTERN,WASSA WEST,1993,MAIZE,3672.0,1.0,3672.0
5,WESTERN,EAST NZEMA,1993,MAIZE,1050.0,0.85,893.0
6,WESTERN,JOMORO,1993,MAIZE,850.0,0.85,723.0
7,WESTERN,WASSA AMENFI,1993,MAIZE,7092.0,1.15,8156.0
8,WESTERN,AOWIN -SUAMAN,1993,MAIZE,5710.0,1.08,6168.0
9,WESTERN,BIBIANI-ANHWIASO-BEKWAI,1993,MAIZE,4392.0,1.16,5095.0
10,WESTERN,SEFWI-WIAWSO,1993,MAIZE,6713.0,1.2,8056.0
11,WESTERN,JUABESO-BIA,1993,MAIZE,8254.0,1.25,10302.0
12,WESTERN,SHAMA AHANTA EAST,1993,RICE,55.0,1.09,60.0
13,WESTERN,WEST AHANTA,1993,RICE,30.0,1.0,30.0
14,WESTERN,MPORHOR WASSA EAST,1993,RICE,232.0,1.15,267.0
15,WESTERN,WASSA WEST,1993,RICE,980.0,1.18,1156.0
16,WESTERN,EAST NZEMA,1993,RICE,380.0,1.0,380.0
17,WESTERN,JOMORO,1993,RICE,240.0,1.0,240.0
18,WESTERN,WASSA AMENFI,1993,RICE,2163.0,1.2,2597.0
19,WESTERN,AOWIN -SUAMAN,1993,RICE,1135.0,1.2,1360.0
20,WESTERN,BIBIANI-ANHWIASO-BEKWAI,1993,RICE,1010.0,1.18,1188.0
21,WESTERN,SEFWI-WIAWSO,1993,RICE,1325.0,1.2,1590.0
22,WESTERN,JUABESO-BIA,1993,RICE,2010.0,1.3,2612.0
23,WESTERN,SHAMA AHANTA EAST,1993,CASSAVA,1632.0,7.4,12076.0
24,WESTERN,WEST AHANTA,1993,CASSAVA,4704.0,8.5,39984.0
25,WESTERN,MPORHOR WASSA EAST,1993,CASSAVA,4873.0,8.7,42395.0
26,WESTERN,WASSA WEST,1993,CASSAVA,4322.0,7.7,33279.0
27,WESTERN,EAST NZEMA,1993,CASSAVA,3450.0,8.5,29325.0
28,WESTERN,JOMORO,1993,CASSAVA,4804.0,8.8,42275.0
29,WESTERN,WASSA AMENFI,1993,CASSAVA,6145.0,9.0,55305.0
30,WESTERN,AOWIN -SUAMAN,1993,CASSAVA,5862.0,9.1,53353.0
31,WESTERN,BIBIANI-ANHWIASO-BEKWAI,1993,CASSAVA,5294.0,9.2,48705.0
32,WESTERN,SEFWI-WIAWSO,1993,CASSAVA,5244.0,9.9,51916.0
33,WESTERN,JUABESO-BIA,1993,CASSAVA,5740.0,10.4,59717.0
34,WESTERN,WEST AHANTA,1993,YAM,25.0,3.8,95.0
35,WESTERN,MPORHOR WASSA EAST,1993,YAM,147.0,4.0,588.0
36,WESTERN,WASSA WEST,1993,YAM,124.0,3.54,439.0
37,WESTERN,WASSA AMENFI,1993,YAM,865.0,5.4,4671.0
38,WESTERN,AOWIN -SUAMAN,1993,YAM,716.0,4.9,3508.0
39,WESTERN,BIBIANI-ANHWIASO-BEKWAI,1993,YAM,1440.0,5.5,7920.0
40,WESTERN,SEFWI-WIAWSO,1993,YAM,1620.0,5.7,9234.0
41,WESTERN,JUABESO-BIA,1993,YAM,3913.0,5.8,22695.0
42,CENTRAL,UPPER DENKYIRA,1993,MAIZE,6480.0,1.2,7774.0
43,CENTRAL,TWIFO HERMAN LOWER DENKYIRA,1993,MAIZE,3883.0,1.2,4657.0
44,CENTRAL,ASSIN NORTH,1993,MAIZE,5925.0,1.2,7110.0
45,CENTRAL,ABURA-ASEBU-KWAMANKESE,1993,MAIZE,4675.0,1.2,5610.0
46,CENTRAL,ASIKUMA-ODOBEN-BRAKWA,1993,MAIZE,4121.0,1.2,4944.0
47,CENTRAL,MFANTSIMAN,1993,MAIZE,7645.0,1.2,9173.0
48,CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,1993,MAIZE,4490.0,1.2,5388.0
49,CENTRAL,AJUMAKO-ENYAN-ESIAM,1993,MAIZE,3592.0,1.2,4308.0
50,CENTRAL,AWUTU-EFUTU-SENYA,1993,MAIZE,13451.0,1.2,16140.0
51,CENTRAL,GOMOA,1993,MAIZE,2304.0,1.2,2764.0
52,CENTRAL,CAPE COAST,1993,MAIZE,3944.0,1.2,4732.0
53,CENTRAL,AGONA,1993,MAIZE,6910.0,1.2,8290.0
54,CENTRAL,UPPER DENKYIRA,1993,RICE,197.0,1.12,220.0
55,CENTRAL,TWIFO HERMAN LOWER DENKYIRA,1993,RICE,90.0,1.11,100.0
56,CENTRAL,ASSIN NORTH,1993,RICE,233.0,1.07,250.0
57,CENTRAL,UPPER DENKYIRA,1993,CASSAVA,5278.0,8.9,46974.0
58,CENTRAL,TWIFO HERMAN LOWER DENKYIRA,1993,CASSAVA,4061.0,8.9,36142.0
59,CENTRAL,ASSIN NORTH,1993,CASSAVA,4986.0,8.9,44375.0
60,CENTRAL,ABURA-ASEBU-KWAMANKESE,1993,CASSAVA,3515.0,8.9,31284.0
61,CENTRAL,ASIKUMA-ODOBEN-BRAKWA,1993,CASSAVA,4004.0,8.9,35636.0
62,CENTRAL,MFANTSIMAN,1993,CASSAVA,5842.0,8.9,51994.0
63,CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,1993,CASSAVA,4064.0,8.9,36170.0
64,CENTRAL,AJUMAKO-ENYAN-ESIAM,1993,CASSAVA,3112.0,8.9,27697.0
65,CENTRAL,AWUTU-EFUTU-SENYA,1993,CASSAVA,5217.0,8.9,46431.0
66,CENTRAL,GOMOA,1993,CASSAVA,2134.0,8.9,18993.0
67,CENTRAL,CAPE COAST,1993,CASSAVA,3777.0,8.9,33615.0
68,CENTRAL,AGONA,1993,CASSAVA,5510.0,8.9,49039.0
69,CENTRAL,UPPER DENKYIRA,1993,YAM,463.0,5.2,2408.0
70,CENTRAL,TWIFO HERMAN LOWER DENKYIRA,1993,YAM,392.0,5.2,2038.0
71,CENTRAL,ASSIN NORTH,1993,YAM,322.0,5.2,1674.0
72,CENTRAL,ABURA-ASEBU-KWAMANKESE,1993,YAM,223.0,5.2,1160.0
73,CENTRAL,ASIKUMA-ODOBEN-BRAKWA,1993,YAM,340.0,5.2,1768.0
74,CENTRAL,MFANTSIMAN,1993,YAM,221.0,5.2,1149.0
75,CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,1993,YAM,34.0,5.21,177.0
76,CENTRAL,AJUMAKO-ENYAN-ESIAM,1993,YAM,214.0,5.2,1113.0
77,CENTRAL,AWUTU-EFUTU-SENYA,1993,YAM,382.0,5.2,1986.0
78,CENTRAL,GOMOA,1993,YAM,48.0,5.21,250.0
79,CENTRAL,AGONA,1993,YAM,461.0,5.2,2397.0
80,VOLTA,NORTH TONGU,1993,MAIZE,3540.0,0.6,2120.0
81,VOLTA,SOUTH TONGU (SOGAKOPE),1993,MAIZE,2000.0,0.6,1200.0
82,VOLTA,AKATSI,1993,MAIZE,3300.0,0.6,1980.0
83,VOLTA,KETA,1993,MAIZE,1500.0,0.6,900.0
84,VOLTA,DENU/DZODZE(KETU),1993,MAIZE,3900.0,1.2,4680.0
85,VOLTA,KPANDO,1993,MAIZE,3200.0,1.7,5440.0
86,VOLTA,HOHOE MUNICIPAL,1993,MAIZE,5500.0,1.7,9350.0
87,VOLTA,JASIKAN,1993,MAIZE,4500.0,1.6,7200.0
88,VOLTA,KADJEBI,1993,MAIZE,4000.0,1.8,7200.0
89,VOLTA,NKWANTA,1993,MAIZE,4140.0,1.8,7450.0
90,VOLTA,KETE-KRACHI,1993,MAIZE,5800.0,1.8,10440.0
91,VOLTA,HO MUNICIPAL,1993,MAIZE,5100.0,1.4,7140.0
92,VOLTA,NORTH TONGU,1993,RICE,600.0,3.6,2160.0
93,VOLTA,DENU/DZODZE(KETU),1993,RICE,450.0,4.31,1940.0
94,VOLTA,KPANDO,1993,RICE,300.0,3.7,1110.0
95,VOLTA,HOHOE MUNICIPAL,1993,RICE,400.0,3.7,1480.0
96,VOLTA,JASIKAN,1993,RICE,250.0,3.68,920.0
97,VOLTA,KADJEBI,1993,RICE,150.0,3.73,560.0
98,VOLTA,NKWANTA,1993,RICE,200.0,3.7,740.0
99,VOLTA,KETE-KRACHI,1993,RICE,1500.0,3.7,5550.0
100,VOLTA,NORTH TONGU,1993,CASSAVA,2500.0,10.5,26250.0
101,VOLTA,SOUTH TONGU (SOGAKOPE),1993,CASSAVA,1200.0,10.5,12600.0
102,VOLTA,AKATSI,1993,CASSAVA,4510.0,10.5,47340.0
103,VOLTA,KETA,1993,CASSAVA,1200.0,8.0,9600.0
104,VOLTA,DENU/DZODZE(KETU),1993,CASSAVA,8000.0,10.5,84000.0
105,VOLTA,KPANDO,1993,CASSAVA,4000.0,17.5,70000.0
106,VOLTA,HOHOE MUNICIPAL,1993,CASSAVA,4500.0,17.5,78750.0
107,VOLTA,JASIKAN,1993,CASSAVA,5000.0,17.5,87500.0
108,VOLTA,KADJEBI,1993,CASSAVA,4000.0,17.5,70000.0
109,VOLTA,NKWANTA,1993,CASSAVA,7500.0,17.5,131250.0
110,VOLTA,KETE-KRACHI,1993,CASSAVA,6800.0,17.5,119000.0
111,VOLTA,HO MUNICIPAL,1993,CASSAVA,4550.0,14.5,65980.0
112,VOLTA,KPANDO,1993,YAM,400.0,4.08,1630.0
113,VOLTA,HOHOE MUNICIPAL,1993,YAM,650.0,3.0,1950.0
114,VOLTA,JASIKAN,1993,YAM,1200.0,5.42,6500.0
115,VOLTA,KADJEBI,1993,YAM,350.0,23.31,8160.0
116,VOLTA,NKWANTA,1993,YAM,5500.0,1.36,7500.0
117,VOLTA,HO MUNICIPAL,1993,YAM,800.0,0.63,500.0
118,ASHANTI,BEKWAI MUNI (AMANSIE EAST),1993,MAIZE,5000.0,1.7,8500.0
119,ASHANTI,AMANSIE WEST,1993,MAIZE,9000.0,1.8,16200.0
120,ASHANTI,EJURA SEKYEREDUMASE,1993,MAIZE,11500.0,2.0,23000.0
121,ASHANTI,SEKYERE WEST,1993,MAIZE,8000.0,2.0,16000.0
122,ASHANTI,SEKYERE EAST,1993,MAIZE,4500.0,1.8,8100.0
123,ASHANTI,AFIGYA SEKYERE,1993,MAIZE,6200.0,1.6,9920.0
124,ASHANTI,AHAFO ANO NORTH,1993,MAIZE,3200.0,1.5,4800.0
125,ASHANTI,AHAFO ANO SOUTH,1993,MAIZE,6000.0,1.6,9600.0
126,ASHANTI,ATWIMA,1993,MAIZE,7000.0,1.7,11900.0
127,ASHANTI,EJUSU JUABEN,1993,MAIZE,2900.0,1.4,4060.0
128,ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,1993,MAIZE,4000.0,1.4,5600.0
129,ASHANTI,KWABRE,1993,MAIZE,4400.0,1.2,5280.0
130,ASHANTI,OFFINSO,1993,MAIZE,4500.0,1.7,7650.0
131,ASHANTI,ADANSI WEST,1993,MAIZE,6800.0,1.4,9520.0
132,ASHANTI,ADANSI  SOUTH,1993,MAIZE,6500.0,1.6,10400.0
133,ASHANTI,ASANTE AKIM NORTH,1993,MAIZE,3900.0,1.7,6630.0
134,ASHANTI,ASANTE AKIM SOUTH,1993,MAIZE,3700.0,1.7,6290.0
135,ASHANTI,AMANSIE WEST,1993,RICE,200.0,1.5,300.0
136,ASHANTI,EJURA SEKYEREDUMASE,1993,RICE,700.0,1.5,1050.0
137,ASHANTI,SEKYERE EAST,1993,RICE,500.0,1.5,750.0
138,ASHANTI,AHAFO ANO NORTH,1993,RICE,300.0,1.5,450.0
139,ASHANTI,EJUSU JUABEN,1993,RICE,100.0,1.5,150.0
140,ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,1993,RICE,300.0,2.0,600.0
141,ASHANTI,OFFINSO,1993,RICE,1300.0,2.8,3640.0
142,ASHANTI,ADANSI  SOUTH,1993,RICE,1000.0,2.2,2200.0
143,ASHANTI,BEKWAI MUNI (AMANSIE EAST),1993,CASSAVA,7800.0,10.8,84240.0
144,ASHANTI,AMANSIE WEST,1993,CASSAVA,9500.0,12.4,117800.0
145,ASHANTI,EJURA SEKYEREDUMASE,1993,CASSAVA,2200.0,8.8,19360.0
146,ASHANTI,SEKYERE WEST,1993,CASSAVA,6500.0,12.3,79950.0
147,ASHANTI,SEKYERE EAST,1993,CASSAVA,3500.0,9.8,34300.0
148,ASHANTI,AFIGYA SEKYERE,1993,CASSAVA,6900.0,11.5,79350.0
149,ASHANTI,AHAFO ANO NORTH,1993,CASSAVA,6900.0,9.2,63480.0
150,ASHANTI,AHAFO ANO SOUTH,1993,CASSAVA,4620.0,10.7,49430.0
151,ASHANTI,ATWIMA,1993,CASSAVA,15700.0,11.8,185260.0
152,ASHANTI,EJUSU JUABEN,1993,CASSAVA,4200.0,8.2,34440.0
153,ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,1993,CASSAVA,4200.0,9.7,40740.0
154,ASHANTI,KWABRE,1993,CASSAVA,4900.0,10.1,49490.0
155,ASHANTI,OFFINSO,1993,CASSAVA,4100.0,12.7,52070.0
156,ASHANTI,ADANSI WEST,1993,CASSAVA,7100.0,10.5,74550.0
157,ASHANTI,ADANSI  SOUTH,1993,CASSAVA,6000.0,10.5,63000.0
158,ASHANTI,ASANTE AKIM NORTH,1993,CASSAVA,5000.0,9.8,49000.0
159,ASHANTI,ASANTE AKIM SOUTH,1993,CASSAVA,5000.0,9.1,45500.0
160,ASHANTI,BEKWAI MUNI (AMANSIE EAST),1993,YAM,800.0,14.58,11660.0
161,ASHANTI,EJURA SEKYEREDUMASE,1993,YAM,6500.0,12.6,81900.0
162,ASHANTI,SEKYERE WEST,1993,YAM,2300.0,11.9,27370.0
163,ASHANTI,AFIGYA SEKYERE,1993,YAM,1000.0,17.17,17170.0
164,ASHANTI,ATWIMA,1993,YAM,1000.0,9.72,9720.0
165,ASHANTI,OFFINSO,1993,YAM,1000.0,11.0,11000.0
166,ASHANTI,ASANTE AKIM NORTH,1993,YAM,800.0,6.31,5050.0
167,EASTERN,BIRIM SOUTH,1993,MAIZE,10100.0,1.8,18200.0
168,EASTERN,WEST AKIM,1993,MAIZE,12700.0,1.8,22800.0
169,EASTERN,SUHUM KRABOA COALTAR,1993,MAIZE,10100.0,1.8,18200.0
170,EASTERN,AKUAPIM SOUTH,1993,MAIZE,6400.0,1.8,11500.0
171,EASTERN,AKUAPIM NORTH,1993,MAIZE,10100.0,1.8,18200.0
172,EASTERN,NEW JUABEN,1993,MAIZE,900.0,1.78,1600.0
173,EASTERN,YILO KROBO,1993,MAIZE,8900.0,1.8,16000.0
174,EASTERN,EAST AKIM,1993,MAIZE,2500.0,1.8,4500.0
175,EASTERN,KWAEBIBIREM,1993,MAIZE,10100.0,1.8,18200.0
176,EASTERN,BIRIM NORTH,1993,MAIZE,5000.0,1.8,9000.0
177,EASTERN,KWAHU SOUTH,1993,MAIZE,6400.0,1.8,11500.0
178,EASTERN,FANTEAKWA,1993,MAIZE,12700.0,1.8,22900.0
179,EASTERN,KWAHU NORTH,1993,MAIZE,12700.0,1.8,22900.0
180,EASTERN,ASUOGYAMAN,1993,MAIZE,2500.0,1.8,4500.0
181,EASTERN,MANYA KROBO,1993,MAIZE,11400.0,1.8,20500.0
182,EASTERN,BIRIM SOUTH,1993,RICE,1500.0,1.4,2100.0
183,EASTERN,KWAEBIBIREM,1993,RICE,200.0,1.5,300.0
184,EASTERN,BIRIM NORTH,1993,RICE,2300.0,1.39,3200.0
185,EASTERN,BIRIM SOUTH,1993,CASSAVA,17200.0,11.0,189200.0
186,EASTERN,WEST AKIM,1993,CASSAVA,15000.0,11.0,165000.0
187,EASTERN,SUHUM KRABOA COALTAR,1993,CASSAVA,10900.0,11.0,119900.0
188,EASTERN,AKUAPIM SOUTH,1993,CASSAVA,7700.0,11.0,84700.0
189,EASTERN,AKUAPIM NORTH,1993,CASSAVA,12300.0,11.0,135300.0
190,EASTERN,NEW JUABEN,1993,CASSAVA,1600.0,11.0,17600.0
191,EASTERN,YILO KROBO,1993,CASSAVA,10400.0,11.0,114400.0
192,EASTERN,EAST AKIM,1993,CASSAVA,6400.0,11.0,70400.0
193,EASTERN,KWAEBIBIREM,1993,CASSAVA,9200.0,11.0,101200.0
194,EASTERN,BIRIM NORTH,1993,CASSAVA,5000.0,11.0,55000.0
195,EASTERN,KWAHU SOUTH,1993,CASSAVA,8900.0,11.0,97900.0
196,EASTERN,FANTEAKWA,1993,CASSAVA,13000.0,11.0,143000.0
197,EASTERN,KWAHU NORTH,1993,CASSAVA,10000.0,11.0,110000.0
198,EASTERN,ASUOGYAMAN,1993,CASSAVA,7700.0,11.0,84700.0
199,EASTERN,MANYA KROBO,1993,CASSAVA,7700.0,11.0,84700.0
200,EASTERN,BIRIM SOUTH,1993,YAM,800.0,16.5,13200.0
201,EASTERN,KWAHU SOUTH,1993,YAM,300.0,16.67,5000.0
202,EASTERN,FANTEAKWA,1993,YAM,200.0,16.5,3300.0
203,EASTERN,KWAHU NORTH,1993,YAM,19000.0,16.5,313500.0
204,EASTERN,MANYA KROBO,1993,YAM,900.0,16.44,14800.0
205,BRONG AHAFO,SUNYANI MUNICIPAL,1993,MAIZE,8400.0,1.5,12600.0
206,BRONG AHAFO,ASUTIFI,1993,MAIZE,1920.0,1.8,3460.0
207,BRONG AHAFO,WENCHI MUNICIPAL,1993,MAIZE,5500.0,2.2,12100.0
208,BRONG AHAFO,DORMA AHENKRO,1993,MAIZE,6600.0,2.3,15180.0
209,BRONG AHAFO,BEREKUM,1993,MAIZE,6400.0,1.6,10240.0
210,BRONG AHAFO,TANO,1993,MAIZE,7230.0,2.0,14460.0
211,BRONG AHAFO,SENE,1993,MAIZE,2150.0,1.5,3220.0
212,BRONG AHAFO,NKORANZA,1993,MAIZE,8900.0,2.8,24920.0
213,BRONG AHAFO,TECHIMAN MUNICIPAL,1993,MAIZE,7700.0,1.8,13860.0
214,BRONG AHAFO,ASUNAFO,1993,MAIZE,6750.0,2.2,14850.0
215,BRONG AHAFO,JAMAN,1993,MAIZE,3310.0,1.7,5630.0
216,BRONG AHAFO,KINTAMPO,1993,MAIZE,4960.0,2.5,12400.0
217,BRONG AHAFO,ATEBUBU,1993,MAIZE,6590.0,1.5,9880.0
218,BRONG AHAFO,ASUTIFI,1993,RICE,200.0,2.5,500.0
219,BRONG AHAFO,WENCHI MUNICIPAL,1993,RICE,50.0,1.6,80.0
220,BRONG AHAFO,DORMA AHENKRO,1993,RICE,3000.0,3.6,10800.0
221,BRONG AHAFO,SENE,1993,RICE,1700.0,2.0,3400.0
222,BRONG AHAFO,ASUNAFO,1993,RICE,100.0,1.4,140.0
223,BRONG AHAFO,KINTAMPO,1993,RICE,200.0,1.0,200.0
224,BRONG AHAFO,ATEBUBU,1993,RICE,6200.0,1.4,8680.0
225,BRONG AHAFO,SUNYANI MUNICIPAL,1993,CASSAVA,5660.0,18.3,103580.0
226,BRONG AHAFO,ASUTIFI,1993,CASSAVA,2650.0,14.82,39280.0
227,BRONG AHAFO,WENCHI MUNICIPAL,1993,CASSAVA,6450.0,21.0,135450.0
228,BRONG AHAFO,DORMA AHENKRO,1993,CASSAVA,5520.0,12.3,67900.0
229,BRONG AHAFO,BEREKUM,1993,CASSAVA,3150.0,11.2,35280.0
230,BRONG AHAFO,TANO,1993,CASSAVA,5200.0,10.6,55120.0
231,BRONG AHAFO,SENE,1993,CASSAVA,8300.0,14.3,118690.0
232,BRONG AHAFO,NKORANZA,1993,CASSAVA,5660.0,15.5,87730.0
233,BRONG AHAFO,TECHIMAN MUNICIPAL,1993,CASSAVA,11100.0,26.0,288600.0
234,BRONG AHAFO,ASUNAFO,1993,CASSAVA,6410.0,13.8,88460.0
235,BRONG AHAFO,JAMAN,1993,CASSAVA,6930.0,13.0,90090.0
236,BRONG AHAFO,KINTAMPO,1993,CASSAVA,1630.0,11.0,17930.0
237,BRONG AHAFO,ATEBUBU,1993,CASSAVA,9400.0,14.0,131600.0
238,BRONG AHAFO,SUNYANI MUNICIPAL,1993,YAM,480.0,6.9,3310.0
239,BRONG AHAFO,WENCHI MUNICIPAL,1993,YAM,8600.0,13.9,119540.0
240,BRONG AHAFO,DORMA AHENKRO,1993,YAM,500.0,7.0,3500.0
241,BRONG AHAFO,BEREKUM,1993,YAM,360.0,6.31,2270.0
242,BRONG AHAFO,TANO,1993,YAM,600.0,6.2,3720.0
243,BRONG AHAFO,SENE,1993,YAM,7020.0,11.8,82840.0
244,BRONG AHAFO,NKORANZA,1993,YAM,6500.0,12.5,81250.0
245,BRONG AHAFO,TECHIMAN MUNICIPAL,1993,YAM,6900.0,11.0,75900.0
246,BRONG AHAFO,JAMAN,1993,YAM,1330.0,11.9,15830.0
247,BRONG AHAFO,KINTAMPO,1993,YAM,9930.0,16.8,166820.0
248,BRONG AHAFO,ATEBUBU,1993,YAM,14020.0,12.9,180860.0
249,UPPER WEST,WA,1993,MAIZE,6000.0,1.3,7800.0
250,UPPER WEST,LAWRA,1993,MAIZE,1400.0,1.3,1820.0
251,UPPER WEST,TUMU,1993,MAIZE,9100.0,1.3,11830.0
252,UPPER WEST,JIRAPA,1993,MAIZE,4100.0,1.3,5330.0
253,UPPER WEST,NADOWLI,1993,MAIZE,15600.0,1.3,20280.0
254,UPPER WEST,WA,1993,RICE,630.0,1.5,945.0
255,UPPER WEST,NADOWLI,1993,RICE,870.0,1.5,1305.0
256,UPPER WEST,WA,1993,YAM,9700.0,13.6,131920.0
257,UPPER WEST,TUMU,1993,YAM,4900.0,13.6,66640.0
258,UPPER WEST,NADOWLI,1993,YAM,1600.0,13.6,21760.0
259,UPPER EAST,BUILSA,1993,MAIZE,1050.0,0.7,740.0
260,UPPER EAST,KASINA-NANKANA,1993,MAIZE,340.0,0.71,240.0
261,UPPER EAST,BONGO,1993,MAIZE,10.0,1.0,10.0
262,UPPER EAST,BOLGATANGA MUNICIPAL,1993,MAIZE,2900.0,0.9,2610.0
263,UPPER EAST,BAWKU EAST,1993,MAIZE,2010.0,1.2,2410.0
264,UPPER EAST,BAWKU WEST,1993,MAIZE,20.0,1.0,20.0
265,UPPER EAST,BUILSA,1993,RICE,1510.0,1.9,2870.0
266,UPPER EAST,KASINA-NANKANA,1993,RICE,1310.0,2.2,2880.0
267,UPPER EAST,BONGO,1993,RICE,170.0,1.18,200.0
268,UPPER EAST,BOLGATANGA MUNICIPAL,1993,RICE,6800.0,1.2,8160.0
269,UPPER EAST,BAWKU EAST,1993,RICE,5310.0,2.0,10620.0
270,UPPER EAST,BAWKU WEST,1993,RICE,940.0,1.7,1600.0
271,WESTERN,SHAMA AHANTA EAST,1993,COCOYAM,80.0,3.9,312.0
272,WESTERN,WEST AHANTA,1993,COCOYAM,95.0,3.71,352.0
273,WESTERN,MPORHOR WASSA EAST,1993,COCOYAM,808.0,5.1,4120.0
274,WESTERN,WASSA WEST,1993,COCOYAM,495.0,4.6,2277.0
275,WESTERN,EAST NZEMA,1993,COCOYAM,60.0,3.5,210.0
276,WESTERN,JOMORO,1993,COCOYAM,85.0,3.6,306.0
277,WESTERN,WASSA AMENFI,1993,COCOYAM,3770.0,5.4,20358.0
278,WESTERN,AOWIN -SUAMAN,1993,COCOYAM,4710.0,5.5,25900.0
279,WESTERN,BIBIANI-ANHWIASO-BEKWAI,1993,COCOYAM,4622.0,5.5,25421.0
280,WESTERN,SEFWI-WIAWSO,1993,COCOYAM,4468.0,5.9,26361.0
281,WESTERN,JUABESO-BIA,1993,COCOYAM,5287.0,6.09,32193.0
282,WESTERN,SHAMA AHANTA EAST,1993,PLANTAIN,177.0,4.01,709.0
283,WESTERN,WEST AHANTA,1993,PLANTAIN,142.0,4.3,610.0
284,WESTERN,MPORHOR WASSA EAST,1993,PLANTAIN,1521.0,5.8,8822.0
285,WESTERN,WASSA WEST,1993,PLANTAIN,843.0,4.5,3794.0
286,WESTERN,EAST NZEMA,1993,PLANTAIN,127.0,4.4,559.0
287,WESTERN,JOMORO,1993,PLANTAIN,150.0,4.6,690.0
288,WESTERN,WASSA AMENFI,1993,PLANTAIN,5244.0,7.2,37757.0
289,WESTERN,AOWIN -SUAMAN,1993,PLANTAIN,5369.0,6.4,34342.0
290,WESTERN,BIBIANI-ANHWIASO-BEKWAI,1993,PLANTAIN,5784.0,7.1,41066.0
291,WESTERN,SEFWI-WIAWSO,1993,PLANTAIN,6078.0,7.0,42546.0
292,WESTERN,JUABESO-BIA,1993,PLANTAIN,7055.0,7.9,55735.0
293,CENTRAL,UPPER DENKYIRA,1993,COCOYAM,5199.0,4.8,24955.0
294,CENTRAL,TWIFO HERMAN LOWER DENKYIRA,1993,COCOYAM,1295.0,4.8,6216.0
295,CENTRAL,ASSIN NORTH,1993,COCOYAM,1686.0,4.8,8092.0
296,CENTRAL,ABURA-ASEBU-KWAMANKESE,1993,COCOYAM,425.0,4.8,2040.0
297,CENTRAL,ASIKUMA-ODOBEN-BRAKWA,1993,COCOYAM,318.0,4.8,1526.0
298,CENTRAL,MFANTSIMAN,1993,COCOYAM,245.0,4.8,1176.0
299,CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,1993,COCOYAM,512.0,4.8,2460.0
300,CENTRAL,AJUMAKO-ENYAN-ESIAM,1993,COCOYAM,1481.0,4.8,7108.0
301,CENTRAL,CAPE COAST,1993,COCOYAM,249.0,4.8,1195.0
302,CENTRAL,AGONA,1993,COCOYAM,990.0,4.8,4752.0
303,CENTRAL,UPPER DENKYIRA,1993,PLANTAIN,4041.0,6.1,24650.0
304,CENTRAL,TWIFO HERMAN LOWER DENKYIRA,1993,PLANTAIN,297.0,6.1,1812.0
305,CENTRAL,ASSIN NORTH,1993,PLANTAIN,994.0,6.1,6063.0
306,CENTRAL,ABURA-ASEBU-KWAMANKESE,1993,PLANTAIN,193.0,6.1,1177.0
307,CENTRAL,ASIKUMA-ODOBEN-BRAKWA,1993,PLANTAIN,223.0,6.1,1360.0
308,CENTRAL,MFANTSIMAN,1993,PLANTAIN,65.0,6.11,397.0
309,CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,1993,PLANTAIN,155.0,6.1,945.0
310,CENTRAL,AJUMAKO-ENYAN-ESIAM,1993,PLANTAIN,275.0,6.1,1678.0
311,CENTRAL,AGONA,1993,PLANTAIN,1257.0,6.1,7668.0
312,VOLTA,KPANDO,1993,COCOYAM,350.0,6.0,2100.0
313,VOLTA,HOHOE MUNICIPAL,1993,COCOYAM,480.0,5.83,2800.0
314,VOLTA,JASIKAN,1993,COCOYAM,1800.0,6.1,10980.0
315,VOLTA,KADJEBI,1993,COCOYAM,1200.0,6.5,7800.0
316,VOLTA,NKWANTA,1993,COCOYAM,1000.0,7.0,7000.0
317,VOLTA,HO MUNICIPAL,1993,COCOYAM,700.0,5.0,3500.0
318,VOLTA,KPANDO,1993,PLANTAIN,250.0,6.52,1630.0
319,VOLTA,HOHOE MUNICIPAL,1993,PLANTAIN,300.0,6.5,1950.0
320,VOLTA,JASIKAN,1993,PLANTAIN,1000.0,6.5,6500.0
321,VOLTA,KADJEBI,1993,PLANTAIN,1200.0,6.8,8160.0
322,VOLTA,NKWANTA,1993,PLANTAIN,1000.0,7.5,7500.0
323,VOLTA,HO MUNICIPAL,1993,PLANTAIN,100.0,5.0,500.0
324,ASHANTI,BEKWAI MUNI (AMANSIE EAST),1993,COCOYAM,4000.0,8.2,32800.0
325,ASHANTI,AMANSIE WEST,1993,COCOYAM,2500.0,10.9,27250.0
326,ASHANTI,EJURA SEKYEREDUMASE,1993,COCOYAM,1000.0,7.1,7100.0
